#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:37:17       0      3     14      0      0      0      0    405    210      0      0 
 20260527    14:37:18       0      2     13      0      0      0      0    405    210      0      0 
 20260527    14:37:19       0      0     13      0      0      0      0    405    210      0      0 
 20260527    14:37:20       0      0     13      0      0      0      0    405    210      0      0 
 20260527    14:37:21       0      0     13      0      0      0      0    405    210      3      0 
 20260527    14:37:22       0      3     14      0      0      0      0    405    210      0      5 
 20260527    14:37:23       0      0     13      0      0      0      0    405    210      0      0 
 20260527    14:37:24       0      0     13      0      0      0      0    405    210     11      0 
 20260527    14:37:25       0      0     14      0      0      0      0    405    210      1      0 
 20260527    14:37:26       0      2     14      0      0      0      0    405    210    231      0 
 20260527    14:37:27       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:37:28       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:37:29       0      0     14      0      0      0      0    405    210      5      0 
 20260527    14:37:31       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:37:32       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:37:33       0      0     14      0      0      0      0    405    210      3      0 
 20260527    14:37:34       0      3     14      0      0      0      0    405    210      1      0 
 20260527    14:37:35       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:37:36       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:37:37       0      0     13      0      0      0      0    405    210     10      1 
 20260527    14:37:38       0      2     13      0      0      0      0    405    210    278     16 
 20260527    14:37:39       0      0     13      0      0      0      0    405    210     14      0 
 20260527    14:37:40       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:37:41       0      0     13      0      0      0      0    405    210      1      0 
 20260527    14:37:42       0      2     13      0      0      0      0    405    210      0      0 
 20260527    14:37:43       0      0     13      0      0      0      0    405    210      4      0 
 20260527    14:37:44       0      0     13      0      0      0      0    405    210      0      0 
 20260527    14:37:46       0      3     14      0      0      0      0    405    210      1      0 
 20260527    14:37:47       0      0     13      0      0      0      0    405    210      0      0 
 20260527    14:37:48       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:37:49       0      0     14      0      0      0      0    405    210      5      1 
 20260527    14:37:50       0      4     14      0      0      0      0    405    210      1      0 
 20260527    14:37:51       0      0     14      0      0      0      0    405    210      0      1 
 20260527    14:37:52       0      0     14      0      0      0      0    405    210      1      1 
 20260527    14:37:53       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:37:54       0      2     14      0      0      0      0    405    210     16      0 
 20260527    14:37:55       0      1     14      0      0      0      0    405    210      0      0 
 20260527    14:37:56       0      0     14      0      0      0      0    405    210      0      0 
 20260527    14:37:57       0      0     14      0      0      0      0    405    210      4      0 
 20260527    14:37:58       0      2     14      0      0      0      0    405    210      4      0 
 20260527    14:37:59       0      0     13      0      0      0      0    405    210      2     10 
 20260527    14:38:01       0      0      8      0      0      0      0    405    210      0      0 
 20260527    14:38:02       0      4      9      0      0      0      0    405    210      1      0 
 20260527    14:38:03       0      0     10      0      0      0      0    405    210      0      0 
#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz   MB/s   MB/s 
 20260527    14:38:04       0      0     10      0      0      0      0    405    210      0      0 
 20260527    14:38:05       0      0     10      0      0      0      0    405    210      0      0 
 20260527    14:38:06       0      3     10      0      0      0      0    405    210      0      0 
 20260527    14:38:07       0      0     10      0      0      0      0    405    210     80    341 
 20260527    14:38:08       0      2      2      0    100      0      0  10251   2670    132    329 
 20260527    14:38:09       0      3      2      0    100      0      0  10251   2670     99    336 
 20260527    14:38:10       0      3      2      0    100      0      0  10251   2670     91    326 
 20260527    14:38:11       0      3      2      0    100      0      0  10251   2670     92    331 
 20260527    14:38:12       0      3      2      0    100      0      0  10251   2670    105    349 
 20260527    14:38:13       0      3      2      1    100      0      0  10251   2670     82    331 
 20260527    14:38:14       0      4      2      1    100      0      0  10251   2670    109    296 
 20260527    14:38:15       0      2      2      0    100      0      0  10251   2670    141    331 
 20260527    14:38:17       0      3      2      0    100      0      0  10251   2670    104    310 
 20260527    14:38:18       0      3      2      0    100      0      0  10251   2670     95    333 
 20260527    14:38:19       0      3      2      0    100      0      0  10251   2670    129    309 
 20260527    14:38:20       0      3      2      1    100      0      0  10251   2670    132    311 
 20260527    14:38:21       0      3      2      1    100      0      0  10251   2670    109    314 
 20260527    14:38:22       0      4      2      1    100      0      0  10251   2670    138    296 
 20260527    14:38:23       0      2      1      0    100      0      0  10251   2670    127    328 
 20260527    14:38:24       0      3      2      1    100      0      0  10251   2670    126    313 
 20260527    14:38:25       0      3      2      1    100      0      0  10251   2670    117    315 
 20260527    14:38:26       0      3      2      1    100      0      0  10251   2670    136    331 
 20260527    14:38:27       0      3      2      0    100      0      0  10251   2670    109    335 
 20260527    14:38:28       0      3      2      0    100      0      0  10251   2670    126    324 
 20260527    14:38:29       0      3      2      0    100      0      0  10251   2670     98    327 
 20260527    14:38:31       0      3      2      0    100      0      0  10251   2670    100    350 
 20260527    14:38:32       0      3      2      0    100      0      0  10251   2670     66    363 
 20260527    14:38:33       0      3      2      0    100      0      0  10251   2670    144    270 
 20260527    14:38:34       0      3      2      0    100      0      0  10251   2670    148    293 
 20260527    14:38:35       0      2      1      1    100      0      0  10251   2670    123    329 
 20260527    14:38:36       0      2      2      0    100      0      0  10251   2670    140    281 
 20260527    14:38:37       0      2      2      1    100      0      0  10251   2670     70    356 
 20260527    14:38:38       0      3      2      0    100      0      0  10251   2670     69    332 
 20260527    14:38:39       0      2      1      0    100      0      0  10251   2670    102    333 
 20260527    14:38:40       0      3      2      0    100      0      0  10251   2670     81    345 
